fleet_id,current_location,capacity,current_capacity_used,package_id,destination,weight,priority,assigned
FLEET42,Pune,1050,250,PKG42,Ahmedabad,170,High,1
FLEET43,Ahmedabad,1000,200,PKG43,Surat,160,Low,1
FLEET44,Surat,1200,300,PKG44,Jaipur,210,Medium,1
FLEET45,Jaipur,900,100,PKG45,Lucknow,120,High,1
FLEET46,Lucknow,1100,400,PKG46,Kanpur,230,Urgent,1
FLEET47,Kanpur,950,150,PKG47,Nagpur,190,Medium,1
FLEET48,Nagpur,1050,250,PKG48,Indore,180,High,1
FLEET49,Indore,1000,200,PKG49,Bhopal,170,Low,1
FLEET50,Bhopal,1200,300,PKG50,Visakhapatnam,220,Medium,1
FLEET51,Visakhapatnam,900,100,PKG51,Kochi,130,High,0
FLEET52,Kochi,1100,400,PKG52,Coimbatore,240,Urgent,0
FLEET53,Coimbatore,950,150,PKG53,Mysore,200,Medium,0
FLEET54,Mysore,1050,250,PKG54,Mumbai,190,High,0
FLEET55,Mumbai,1000,200,PKG55,Delhi,180,Low,0
FLEET56,Delhi,1200,300,PKG56,Bangalore,230,Medium,0
FLEET57,Bangalore,900,100,PKG57,Chennai,140,High,0
FLEET58,Chennai,1100,400,PKG58,Hyderabad,250,Urgent,0
FLEET59,Hyderabad,950,150,PKG59,Pune,180,Medium,0
FLEET60,Pune,1050,250,PKG60,Ahmedabad,170,High,0
FLEET61,Ahmedabad,1000,200,PKG61,Surat,160,Low,0
FLEET62,Surat,1200,300,PKG62,Jaipur,210,Medium,0
FLEET63,Jaipur,900,100,PKG63,Lucknow,120,High,0
FLEET64,Lucknow,1100,400,PKG64,Kanpur,230,Urgent,0
FLEET65,Kanpur,950,150,PKG65,Nagpur,190,Medium,0
FLEET66,Nagpur,1050,250,PKG66,Indore,180,High,0
FLEET67,Indore,1000,200,PKG67,Bhopal,170,Low,0
FLEET68,Bhopal,1200,300,PKG68,Visakhapatnam,220,Medium,0
FLEET69,Visakhapatnam,900,100,PKG69,Kochi,130,High,0
FLEET70,Kochi,1100,400,PKG70,Coimbatore,240,Urgent,0
FLEET71,Coimbatore,950,150,PKG71,Mysore,200,Medium,0
FLEET72,Mysore,1050,250,PKG72,Mumbai,190,High,0
FLEET73,Mumbai,1000,200,PKG73,Delhi,180,Low,0
FLEET74,Delhi,1200,300,PKG74,Bangalore,230,Medium,0
FLEET75,Bangalore,900,100,PKG75,Chennai,140,High,0
FLEET76,Chennai,1100,400,PKG76,Hyderabad,250,Urgent,0
FLEET77,Hyderabad,950,150,PKG77,Pune,180,Medium,0
FLEET78,Pune,1050,250,PKG78,Ahmedabad,170,High,0
FLEET79,Ahmedabad,1000,200,PKG79,Surat,160,Low,0
FLEET80,Surat,1200,300,PKG80,Jaipur,210,Medium,0
FLEET81,Jaipur,900,100,PKG81,Lucknow,120,High,0
FLEET82,Lucknow,1100,400,PKG82,Kanpur,230,Urgent,0
FLEET83,Kanpur,950,150,PKG83,Nagpur,190,Medium,0
FLEET84,Nagpur,1050,250,PKG84,Indore,180,High,0
FLEET85,Indore,1000,200,PKG85,Bhopal,170,Low,0
FLEET86,Bhopal,1200,300,PKG86,Visakhapatnam,220,Medium,0
FLEET87,Visakhapatnam,900,100,PKG87,Kochi,130,High,0
FLEET88,Kochi,1100,400,PKG88,Coimbatore,240,Urgent,0
FLEET89,Coimbatore,950,150,PKG89,Mysore,200,Medium,0
FLEET90,Mysore,1050,250,PKG90,Mumbai,190,High,0
FLEET91,Mumbai,1000,200,PKG91,Delhi,180,Low,0
FLEET92,Delhi,1200,300,PKG92,Bangalore,230,Medium,0
FLEET93,Bangalore,900,100,PKG93,Chennai,140,High,0
FLEET94,Chennai,1100,400,PKG94,Hyderabad,250,Urgent,0
FLEET95,Hyderabad,950,150,PKG95,Pune,180,Medium,0
FLEET96,Pune,1050,250,PKG96,Ahmedabad,170,High,0
FLEET97,Ahmedabad,1000,200,PKG97,Surat,160,Low,0
FLEET98,Surat,1200,300,PKG98,Jaipur,210,Medium,0
FLEET99,Jaipur,900,100,PKG99,Lucknow,120,High,0
FLEET100,Lucknow,1100,400,PKG100,Kanpur,230,Urgent,0 
